stid,seqNum,latitude,longitude,time,behavior
2587032,169,35.20164,-80.94033,2025-04-12 11:10:52+00:00,1
2587032,22,35.20164,-80.94029,2025-04-12 11:10:53+00:00,1
2587032,129,35.20164,-80.94025,2025-04-12 11:10:54+00:00,1
2587032,239,35.20164,-80.94023,2025-04-12 11:10:55+00:00,1
2587032,94,35.20164,-80.94021,2025-04-12 11:10:56+00:00,1
2587032,202,35.20163,-80.94023,2025-04-12 11:10:57+00:00,1
2587032,74,35.20164,-80.94035,2025-04-12 11:25:50+00:00,1
2587032,209,35.20163,-80.94035,2025-04-12 11:25:51+00:00,1
2587032,87,35.20163,-80.94034,2025-04-12 11:25:52+00:00,1
2587032,95,35.20163,-80.94034,2025-04-12 11:25:53+00:00,1
2587032,232,35.20163,-80.94035,2025-04-12 11:25:54+00:00,1
2587032,108,35.20163,-80.94035,2025-04-12 11:25:55+00:00,1
2587032,245,35.20163,-80.94031,2025-04-12 11:25:56+00:00,1
2587032,119,35.20163,-80.94031,2025-04-12 11:25:57+00:00,1
2587032,0,35.20163,-80.94033,2025-04-12 11:25:58+00:00,1
2587032,136,35.20163,-80.94036,2025-04-12 11:25:59+00:00,1
2587032,14,35.20163,-80.94036,2025-04-12 11:26:00+00:00,1
2587032,151,35.20163,-80.94035,2025-04-12 11:26:01+00:00,1
2587032,30,35.20163,-80.94035,2025-04-12 11:26:02+00:00,1
2587032,164,35.20163,-80.94035,2025-04-12 11:26:03+00:00,1
2587032,218,35.20162,-80.94044,2025-04-12 11:38:41+00:00,1
2587032,110,35.20164,-80.94038,2025-04-12 11:38:42+00:00,1
2587032,13,35.20164,-80.94039,2025-04-12 11:38:43+00:00,1
2587032,178,35.20164,-80.94036,2025-04-12 11:38:44+00:00,1
2587032,214,35.20164,-80.94035,2025-04-12 11:38:46+00:00,1
2587032,67,35.20164,-80.94035,2025-04-12 11:38:45+00:00,1
2587032,108,35.20164,-80.94034,2025-04-12 11:38:47+00:00,1
2587032,10,35.20163,-80.94034,2025-04-12 11:38:48+00:00,1
2587032,173,35.20163,-80.94034,2025-04-12 11:38:49+00:00,1
2587032,63,35.20163,-80.94034,2025-04-12 11:38:50+00:00,1
2587032,212,35.20163,-80.94035,2025-04-12 11:38:51+00:00,1
2587032,105,35.20162,-80.94038,2025-04-12 11:38:52+00:00,1
2587032,251,35.20163,-80.94037,2025-04-12 11:38:53+00:00,1
2587032,164,35.20164,-80.94036,2025-04-12 11:38:54+00:00,1
2587032,58,35.20164,-80.94035,2025-04-12 11:38:55+00:00,1
2587032,238,35.20164,-80.94036,2025-04-12 11:54:39+00:00,1
2587032,124,35.20163,-80.94037,2025-04-12 11:54:40+00:00,1
2587032,0,35.20163,-80.94038,2025-04-12 11:54:41+00:00,1
2587032,143,35.20162,-80.94042,2025-04-12 11:54:43+00:00,1
2587032,127,35.20163,-80.94038,2025-04-12 11:54:42+00:00,1
2587032,20,35.20162,-80.94044,2025-04-12 11:54:44+00:00,1
2587032,154,35.20162,-80.94045,2025-04-12 11:54:45+00:00,1
2587032,34,35.20162,-80.94045,2025-04-12 11:54:46+00:00,1
2587032,165,35.20162,-80.94046,2025-04-12 11:54:47+00:00,1
2587032,44,35.20162,-80.94046,2025-04-12 11:54:48+00:00,1
2587032,172,35.20162,-80.94045,2025-04-12 11:54:49+00:00,1
2587032,47,35.20164,-80.94037,2025-04-12 11:54:50+00:00,1
